Created by: G Romme, University of Toronto Libraries, GIS & Map Library,,
24,J4G,9.49338432421e-04,0.28,8.48
24,J4H,5.02186881424e-04,0.14,4.49
24,J4J,7.30128003306e-04,0.15,6.53
24,J4K,7.67319835277e-04,0.22,6.86
24,J4L,8.35498363759e-04,0.15,7.47
24,J4M,7.99298188015e-04,0.16,7.14
24,J4N,8.06044300936e-04,0.14,7.20
24,J4P,3.70862408878e-04,0.11,3.32
24,J4R,4.22921003119e-04,0.16,3.78
24,J4S,1.93944513781e-04,0.14,1.73
24,J4T,5.15818202787e-04,0.10,4.61
24,J4V,5.22142650189e-04,0.15,4.67
24,J4W,6.96543489291e-04,0.23,6.24
24,J4X,6.28680784656e-04,0.16,5.63
24,J4Y,9.9516850761e-04,0.14,8.92
24,J4Z,2.71450971869e-03,0.30,24.34
24,J5A,7.60086553085e-03,0.55,68.31
24,J5B,5.82069740977e-04,0.18,5.22
24,J5C,9.7486993798e-04,0.41,8.75
24,J5J,0.01,0.53,115.11
24,J5K,0.01,0.54,97.52
24,J5L,5.68200422445e-03,0.46,50.49
24,J5M,0.01,0.63,122.56
24,J5R,7.28673125458e-03,0.74,65.42
24,J5T,7.96060705587e-03,0.45,70.55
24,J5V,7.35973636787e-03,0.50,64.64
24,J5W,0.01,1.08,142.68
24,J5X,6.61310084198e-03,0.61,58.69
24,J5Y,1.06232516642e-03,0.17,9.44
24,J5Z,5.85059707865e-03,0.38,52.03
24,J6A,1.84967660949e-03,0.40,16.46
24,J6E,8.40893241275e-03,0.63,74.28
24,J6J,4.05889470116e-03,0.69,36.46
24,J6K,3.63590677483e-03,0.34,32.66
24,J6N,7.91642877553e-03,1.08,71.25
24,J6R,5.30305646138e-03,0.31,47.71
24,J6S,0.01,1.08,93.58
24,J6T,2.15140662683e-03,0.31,19.39
24,J6V,1.9855235725e-03,0.24,17.68
24,J6W,2.09980014402e-03,0.33,18.70
24,J6X,4.45002694675e-03,0.48,39.62
24,J6Y,3.42969757789e-03,0.55,30.55
24,J6Z,1.17268556591e-03,0.17,10.45
24,J7A,1.23185147329e-03,0.24,10.99
24,J7B,7.70901866621e-04,0.14,6.87
24,J7C,4.75194390194e-03,0.33,42.34
24,J7E,3.59027446646e-03,0.61,32.03
24,J7G,1.16483099933e-03,0.27,10.40
24,J7H,3.28802702039e-04,0.12,2.93
24,J7J,0.01,0.76,131.18
24,J7K,9.48406849528e-03,0.62,84.34
24,J7L,1.86886809669e-03,0.19,16.63
24,J7M,5.77192828944e-03,0.49,51.30
24,J7N,0.04,1.50,370.25
24,J7P,1.40815055636e-03,0.26,12.58
24,J7R,7.41828691586e-03,0.60,66.30
24,J7T,0.01,0.93,150.40
24,J7V,0.01,1.33,104.94
24,J7X,1.34635840831e-03,0.21,12.12
24,J7Y,2.96051808383e-03,0.51,26.30
24,J7Z,1.95038999263e-03,0.25,17.34
24,J8A,0.01,0.70,135.78
24,J8B,0.01,0.68,128.00
24,J8C,0.02,1.07,197.92
24,J8E,0.02,1.01,220.90
24,J8G,0.06,1.61,535.37
24,J8H,0.02,1.27,212.69
24,J8L,0.07,1.43,651.06
24,J8M,7.60993752008e-03,0.58,68.06
24,J8N,0.07,1.56,683.87
24,J8P,4.15211476314e-03,0.41,37.19
24,J8R,8.42973645546e-03,0.55,75.42
24,J8T,2.38680146223e-03,0.34,21.38
24,J8V,0.01,0.71,170.20
24,J8X,5.76306175607e-04,0.12,5.16
24,J8Y,1.36284384825e-03,0.22,12.21
24,J8Z,1.09106456438e-03,0.22,9.77
24,J9A,1.48361429995e-03,0.22,13.30
24,J9B,0.01,0.68,124.97
24,J9E,0.06,2.47,573.96
24,J9H,2.78043296511e-03,0.30,24.96
24,J9J,8.81105129935e-03,0.48,79.01
24,J9L,0.08,2.17,736.17
24,J9P,1.16,11.59,9860.00
24,J9T,0.05,1.50,460.96
24,J9V,0.01,0.59,143.67
24,J9X,0.17,4.53,1429.87
24,J9Y,0.02,1.16,218.59
24,J9Z,0.02,0.78,170.56
35,K0A,0.39,9.56,3523.79
35,K0B,0.14,2.50,1303.56
35,K0C,0.28,5.83,2593.80
35,K0E,0.24,7.36,2205.78
35,K0G,0.30,6.40,2811.26
35,K0H,0.62,10.51,5728.15
35,K0J,1.63,14.91,14554.67
35,K0K,0.65,13.34,6063.49
35,K0L,0.84,9.84,7698.00
35,K0M,0.66,6.21,6025.07
35,K1B,2.39044614377e-03,0.29,21.44
35,K1C,2.87680293042e-03,0.45,25.78
35,K1E,7.34944632909e-04,0.20,6.58
35,K1G,6.17899616489e-03,0.58,55.52
35,K1H,7.44862407333e-04,0.13,6.68
35,K1J,1.81115948328e-03,0.28,16.23
35,K1K,1.64084772672e-03,0.28,14.71
35,K1L,4.26616613484e-04,0.13,3.82
35,K1M,5.33494035445e-04,0.11,4.78
35,K1N,6.34471174954e-04,0.14,5.69
35,K1P,4.97115716055e-05,0.03,0.44
35,K1R,3.97302292275e-04,0.09,3.56
35,K1S,1.13939466309e-03,0.17,10.22
35,K1T,5.39005228164e-03,0.42,48.48
35,K1V,5.13704669112e-03,0.40,46.20
35,K1W,6.57922460251e-04,0.12,5.89
35,K1X,4.66460339467e-03,0.43,42.00
35,K1Y,8.70042271712e-04,0.15,7.81
35,K1Z,9.11440015799e-04,0.24,8.18
35,K2A,7.22464935554e-04,0.14,6.48
35,K2B,1.36383109569e-03,0.18,12.25
35,K2C,1.91388909623e-03,0.54,17.20
35,K2E,1.1957318479e-03,0.17,10.74
35,K2G,3.78685231148e-03,0.36,34.06
35,K2H,4.1785981856e-03,0.50,37.56
35,K2J,5.99795499768e-03,0.33,54.04
35,K2K,7.43236647562e-03,0.71,66.77
35,K2L,1.82982625509e-03,0.25,16.46
35,K2M,7.79864345274e-04,0.12,7.02
35,K2P,1.81389620036e-04,0.06,1.62
35,K2R,3.97175949127e-03,0.39,35.75
35,K2S,0.01,0.49,97.65
35,K2T,4.66560353504e-04,0.09,4.19
35,K2V,1.54856272897e-04,0.05,1.39
35,K2W,3.68797728906e-03,0.39,33.13
35,K4A,3.37935214283e-03,0.32,30.28
35,K4B,0.01,0.99,148.97
35,K4C,8.11246885655e-03,0.60,72.64
35,K4K,8.43468158472e-03,0.50,75.43
35,K4M,5.96472737606e-03,0.60,53.80
35,K4P,6.63303138034e-03,0.39,59.77
35,K4R,0.01,0.69,121.78
35,K6A,8.32671725029e-03,0.85,74.40
35,K6H,0.01,1.17,100.81
35,K6J,1.86451572235e-03,0.44,16.89
35,K6K,1.00549123957e-03,0.18,9.10
35,K6T,2.9060842548e-04,0.08,2.65
35,K6V,0.02,1.39,244.04
35,K7A,0.04,1.52,434.64
35,K7C,0.02,0.94,208.51
35,K7G,0.01,1.54,139.39
35,K7H,0.07,1.63,677.56
35,K7K,4.5113846195e-03,0.58,41.68
35,K7L,0.01,1.79,133.50
35,K7M,5.84661042966e-03,0.55,54.04
35,K7N,3.94161703733e-04,0.10,3.64
35,K7P,5.00660391718e-03,0.37,46.23
35,K7R,0.03,2.70,368.92
35,K7S,0.02,1.36,204.27
35,K7V,0.06,2.07,622.09
35,K8A,0.08,2.25,798.04
35,K8B,2.85208206623e-05,0.03,0.25
35,K8H,0.01,0.97,167.61
35,K8N,0.02,2.21,219.73
35,K8P,1.51052824433e-03,0.28,13.98
35,K8R,9.23933302808e-04,0.16,8.56
35,K8V,0.01,1.08,172.28
35,K9A,0.01,0.93,180.65
35,K9H,1.92593578563e-03,0.28,17.76
35,K9J,0.05,3.11,467.51
35,K9K,1.06155269638e-03,0.26,9.80
35,K9L,1.79347216224e-03,0.39,16.53
35,K9V,0.03,1.48,301.09
35,L0A,0.06,2.19,631.78
35,L0B,0.06,2.80,562.66
35,L0C,0.04,1.74,386.22
35,L0E,0.07,1.92,729.14
35,L0G,0.08,2.55,782.70
35,L0H,9.85423020511e-03,0.97,91.79
35,L0J,5.22013467253e-03,0.35,48.72
35,L0K,0.21,7.29,2000.96
35,L0L,0.15,4.58,1402.46
35,L0M,0.09,2.29,918.03
35,L0N,0.09,2.96,928.89
35,L0P,0.03,1.98,285.77
35,L0R,0.12,3.88,1158.89
35,L0S,0.06,3.58,651.85
35,L1A,0.02,0.86,191.60
35,L1B,9.4276565001e-03,0.63,87.84
35,L1C,0.01,0.90,169.29
35,L1E,4.36523823012e-03,0.45,40.70
35,L1G,1.95110190015e-03,0.28,18.17
35,L1H,9.96550152544e-03,0.66,92.74
35,L1J,2.60430954651e-03,0.31,24.28
35,L1K,1.58197353751e-03,0.19,14.73
35,L1L,4.07004162517e-04,0.08,3.78
35,L1M,4.86559872977e-03,0.36,45.29
35,L1N,3.68729197036e-03,0.35,34.40
35,L1P,2.51694874971e-03,0.25,23.47
35,L1R,2.32297132763e-03,0.24,21.64
35,L1S,2.36604183008e-03,0.24,22.09
35,L1T,2.61435417952e-03,0.23,24.38
35,L1V,4.00067867587e-03,0.64,37.34
35,L1W,1.65253593163e-03,0.29,15.43
35,L1X,2.69600396151e-03,0.38,25.15
35,L1Y,0.01,0.63,98.01
35,L1Z,2.78624278846e-03,0.28,25.99
35,L2A,5.09043051113e-03,0.46,48.64
35,L2E,0.01,1.25,134.97
35,L2G,2.52835723123e-03,0.35,24.06
35,L2H,1.47712123514e-03,0.16,14.05
35,L2J,1.27038229269e-03,0.16,12.07
35,L2M,1.72543357987e-03,0.28,16.37
35,L2N,1.68053149779e-03,0.20,15.94
35,L2P,8.75537989608e-04,0.15,8.31
35,L2R,6.57649561767e-03,0.62,62.49
35,L2S,1.15540386334e-03,0.17,10.97
35,L2T,1.06273710707e-03,0.18,10.10
35,L2V,2.50448345839e-03,0.33,23.80
35,L2W,1.31586077072e-04,0.05,1.24
35,L3B,0.01,1.26,134.11
35,L3C,2.46018162825e-03,0.27,23.45
35,L3K,0.01,0.90,113.53
35,L3M,6.25558728633e-03,0.45,59.38
35,L3P,3.78430162933e-03,0.41,35.27
35,L3R,4.11184231092e-03,0.38,38.38
35,L3S,1.90565100477e-03,0.22,17.78
35,L3T,2.37000890592e-03,0.23,22.13
35,L3V,0.06,1.98,569.73
35,L3X,2.1150900652e-03,0.29,19.64
35,L3Y,0.01,1.01,110.25
35,L3Z,0.01,0.83,156.99
35,L4A,0.01,0.75,173.80
35,L4B,1.72998600084e-03,0.20,16.14
35,L4C,2.69974341494e-03,0.24,25.19
35,L4E,5.11733025656e-03,0.29,47.66
35,L4G,5.46251232653e-03,0.30,50.80
35,L4H,2.70926306624e-03,0.54,25.29
35,L4J,2.45756225381e-03,0.26,22.96
35,L4K,3.6918039562e-03,0.41,34.50
35,L4L,9.40090623296e-03,0.87,87.83
35,L4M,0.01,1.53,137.20
35,L4N,8.06242095765e-03,0.55,74.30
35,L4P,8.95101886415e-03,0.53,82.74
35,L4R,0.01,1.00,114.02
35,L4S,1.94123017123e-03,0.24,18.09
35,L4T,2.38558110218e-03,0.30,22.34
35,L4V,2.80105720639e-05,0.02,0.26
35,L4W,2.0935403294e-03,0.22,19.64
35,L4X,7.14709241343e-04,0.15,6.71
35,L4Y,8.54939100977e-04,0.14,8.03
35,L4Z,1.68574364623e-03,0.20,15.82
35,L5A,9.69027749394e-04,0.15,9.10
35,L5B,1.08168569205e-03,0.15,10.16
35,L5C,1.32411449836e-03,0.20,12.44
35,L5E,8.85049749094e-04,0.20,8.31
35,L5G,8.37790633545e-04,0.17,7.87
35,L5H,1.1887995733e-03,0.26,11.18
35,L5J,2.10343100683e-03,0.29,19.80
35,L5K,7.05707217886e-04,0.13,6.64
35,L5L,1.94037544524e-03,0.20,18.25
35,L5M,3.01512058377e-03,0.26,28.34
35,L5N,3.35735776732e-03,0.31,31.54
35,L5R,1.01411310947e-03,0.15,9.52
35,L5S,1.07036135839e-03,0.17,10.03
35,L5T,2.99135177646e-03,0.25,28.04
35,L5V,1.29090002486e-03,0.19,12.12
35,L5W,1.31027346937e-03,0.18,12.29
35,L6A,7.02660689903e-03,0.39,65.54
35,L6B,5.20157655435e-03,0.38,48.49
35,L6C,5.36872929111e-03,0.29,50.04
35,L6E,9.15615351228e-04,0.14,8.53
35,L6G,3.46006874259e-06,9.19441324649e-03,0.03
35,L6H,4.3037160946e-03,0.37,40.54
35,L6J,2.07151071864e-03,0.26,19.51
35,L6K,6.8049528845e-04,0.13,6.41
35,L6L,2.26602945674e-03,0.23,21.39
35,L6M,6.09622271011e-03,0.40,57.48
35,L6P,5.3845586849e-03,0.34,50.33
35,L6R,2.52254368626e-03,0.21,23.60
35,L6S,2.38218805632e-03,0.22,22.29
35,L6T,4.1027982199e-03,0.43,38.42
35,L6V,9.82181829308e-04,0.13,9.20
35,L6W,1.65839701603e-03,0.21,15.54
35,L6X,2.85853519569e-03,0.25,26.80
35,L6Y,4.34869892552e-03,0.29,40.80
35,L6Z,1.50744326737e-03,0.19,14.11
35,L7A,4.07455693218e-03,0.28,38.18
35,L7B,0.01,0.56,105.16
35,L7C,0.03,0.81,322.40
35,L7E,0.01,0.66,151.64
35,L7G,0.01,0.78,151.79
35,L7J,0.01,0.72,176.85
35,L7K,0.02,0.83,250.18
35,L7L,2.61750490262e-03,0.24,24.72
35,L7M,1.85087125046e-03,0.19,17.48
35,L7N,7.39096613454e-04,0.11,6.98
35,L7P,1.88162255472e-03,0.31,17.78
35,L7R,5.16949919938e-03,0.65,48.83
35,L7S,3.64926084321e-04,0.11,3.45
35,L7T,2.03502148395e-03,0.32,19.25
35,L8E,3.72548902561e-03,0.41,35.32
35,L8G,1.056740911e-03,0.24,10.02
35,L8H,2.00004301159e-03,0.21,18.94
35,L8J,7.4456035162e-03,0.46,70.67
35,L8K,1.31354868164e-03,0.22,12.45
35,L8L,3.12399732265e-03,0.27,29.58
35,L8M,3.31308483738e-04,0.09,3.14
35,L8N,1.91979193947e-04,0.11,1.81
35,L8P,6.45274667731e-04,0.17,6.11
35,L8R,5.25752252569e-04,0.14,4.97
35,L8S,9.58192715472e-04,0.18,9.07
35,L8T,7.0320519483e-04,0.12,6.66
35,L8V,6.08382093748e-04,0.11,5.76
35,L8W,1.48180313738e-03,0.23,14.06
35,L9A,8.12784122592e-04,0.13,7.70
35,L9B,9.46282524235e-04,0.21,8.97
35,L9C,1.42138942518e-03,0.19,13.47
35,L9G,9.26112569272e-03,0.61,87.90
35,L9H,0.01,0.78,108.16
35,L9K,8.55691064097e-04,0.13,8.11
35,L9L,0.02,1.08,259.44
35,L9M,0.02,1.55,204.84
35,L9N,4.37323138473e-03,0.35,40.54
35,L9P,0.02,1.29,262.52
35,L9R,0.01,0.89,154.63
35,L9S,0.02,0.99,203.77
35,L9T,0.02,0.85,211.75
35,L9V,9.55857602322e-04,0.13,8.89
35,L9W,0.04,1.36,411.02
35,L9Y,0.01,0.92,117.27
35,L9Z,6.78829316676e-03,0.56,62.34
35,M1B,2.59848007975e-03,0.30,24.28
35,M1C,1.60019215115e-03,0.23,14.96
35,M1E,1.84261007277e-03,0.30,17.23
35,M1G,9.19731955107e-04,0.18,8.60
35,M1H,6.2978039814e-04,0.13,5.89
35,M1J,6.8755509562e-04,0.15,6.43
35,M1K,1.05180254596e-03,0.17,9.84
35,M1L,9.202243415e-04,0.16,8.62
35,M1M,9.96175339005e-04,0.21,9.32
35,M1N,6.64368743914e-04,0.14,6.22
35,M1P,1.23528231601e-03,0.18,11.55
35,M1R,1.00973691662e-03,0.18,9.44
35,M1S,1.51720905607e-03,0.17,14.18
35,M1T,7.01622160558e-04,0.13,6.56
35,M1V,1.5837528459e-03,0.18,14.79
35,M1W,1.02658322133e-03,0.17,9.59
35,M1X,2.09850279027e-03,0.24,19.59
35,M2H,8.48748077797e-04,0.17,7.93
35,M2J,1.13359375855e-03,0.15,10.60
35,M2K,6.38014858179e-04,0.14,5.96
35,M2L,5.71834362063e-04,0.19,5.35
35,M2M,8.3404244903e-04,0.17,7.79
35,M2N,1.08927496717e-03,0.16,10.18
35,M2P,2.98108068177e-04,0.09,2.78
35,M2R,7.96132110371e-04,0.15,7.44
35,M3A,9.00620510625e-04,0.16,8.42
35,M3B,8.2644114387e-04,0.21,7.73
35,M3C,9.46870434157e-04,0.25,8.86
35,M3H,1.46507295214e-03,0.26,13.70
35,M3J,1.07654543964e-03,0.20,10.07
35,M3K,6.07245561262e-04,0.13,5.68
35,M3L,5.76440238293e-04,0.13,5.39
35,M3M,7.16582672205e-04,0.20,6.70
35,M3N,9.54426787826e-04,0.16,8.93
35,M4A,4.88170397184e-04,0.15,4.57
35,M4B,4.9908499886e-04,0.11,4.67
35,M4C,5.85651041094e-04,0.12,5.48
35,M4E,4.14809759866e-04,0.11,3.88
35,M4G,6.79799890305e-04,0.14,6.36
35,M4H,1.5419779203e-04,0.05,1.44
35,M4J,5.74142344544e-04,0.12,5.38
35,M4K,4.61596185465e-04,0.12,4.32
35,M4L,5.44056575883e-04,0.17,5.10
35,M4M,6.71238812937e-04,0.15,6.29
35,M4N,6.97001417545e-04,0.20,6.52
35,M4P,2.26942922054e-04,0.08,2.12
35,M4R,2.04907171773e-04,0.07,1.91
35,M4S,2.95929616712e-04,0.08,2.77
35,M4T,2.32777611782e-04,0.06,2.18
35,M4V,3.06414847758e-04,0.07,2.87
35,M4W,5.20155981039e-04,0.17,4.87
35,M4X,1.07817341385e-04,0.05,1.01
35,M4Y,1.02788690042e-04,0.06,0.96
35,M5A,7.45305299651e-04,0.42,6.99
35,M5B,7.7837853866e-05,0.04,0.73
35,M5C,3.26012746917e-05,0.02,0.30
35,M5E,7.27910027638e-05,0.03,0.68
35,M5G,6.51295138943e-05,0.04,0.61
35,M5H,3.57908654436e-05,0.03,0.33
35,M5J,4.43975829753e-04,0.42,4.16
35,M5M,6.08221989906e-04,0.13,5.69
35,M5N,2.96223683073e-04,0.09,2.77
35,M5P,3.67101102793e-04,0.12,3.44
35,M5R,2.84080554247e-04,0.09,2.66
35,M5S,2.16317309248e-04,0.08,2.02
35,M5T,1.70374611119e-04,0.06,1.59
35,M5V,3.02300227901e-04,0.14,2.83
35,M6A,5.07756903335e-04,0.13,4.75
35,M6B,7.02729224318e-04,0.19,6.58
35,M6C,3.61715597679e-04,0.11,3.38
35,M6E,5.66499912827e-04,0.11,5.30
35,M6G,4.14788224074e-04,0.10,3.88
35,M6H,5.51375928516e-04,0.11,5.17
35,M6J,3.37972112706e-04,0.08,3.17
35,M6K,4.22422329549e-04,0.20,3.96
35,M6L,5.55622387609e-04,0.11,5.20
35,M6M,8.91418947667e-04,0.15,8.35
35,M6N,9.39305858094e-04,0.17,8.80
35,M6P,4.19975429417e-04,0.09,3.93
35,M6R,4.2607350972e-04,0.16,3.99
35,M6S,8.03496110353e-04,0.17,7.53
35,M8V,7.83646026737e-04,0.24,7.35
35,M8W,8.96669651398e-04,0.17,8.42
35,M8X,3.4912603109e-04,0.11,3.27
35,M8Y,6.07878545026e-04,0.16,5.70
35,M8Z,1.01550499263e-03,0.22,9.53
35,M9A,1.16925372019e-03,0.17,10.96
35,M9B,1.37120333236e-03,0.17,12.86
35,M9C,1.42367128685e-03,0.25,13.35
35,M9L,6.54101489178e-04,0.14,6.12
35,M9M,8.09969630494e-04,0.21,7.58
35,M9N,4.96976166829e-04,0.10,4.65
35,M9P,7.17199624743e-04,0.13,6.72
35,M9R,8.64544433166e-04,0.15,8.10
35,M9V,1.48875655935e-03,0.25,13.93
35,M9W,3.49479315139e-03,0.46,32.73
35,N0A,0.11,2.94,1081.48
35,N0B,0.21,9.89,2062.88
35,N0C,0.17,2.86,1580.96
35,N0E,0.14,8.15,1400.35
35,N0G,0.62,8.18,5777.89
35,N0H,0.37,12.08,3416.78
35,N0J,0.15,5.82,1499.78
35,N0K,0.17,3.99,1667.64
35,N0L,0.24,4.87,2304.64
35,N0M,0.41,6.61,3957.73
35,N0N,0.17,3.22,1644.75
35,N0P,0.31,9.20,3027.40
35,N0R,0.08,3.75,779.79
35,N1A,0.02,1.27,278.42
35,N1C,6.9249590551e-04,0.13,6.52
35,N1E,2.54579017934e-03,0.26,23.93
35,N1G,2.93989987621e-03,0.26,27.67
35,N1H,0.02,1.69,223.71
35,N1K,3.9352980699e-04,0.13,3.70
35,N1L,1.28599152251e-03,0.16,12.11
35,N1M,0.01,0.80,113.79
35,N1P,2.22830237835e-04,0.09,2.10
35,N1R,0.01,1.28,182.60
35,N1S,1.18245011121e-03,0.15,11.17
35,N1T,1.30987989597e-03,0.15,12.36
35,N2A,1.57006568404e-03,0.19,14.80
35,N2B,1.21415826054e-03,0.18,11.44
35,N2C,1.13779296366e-03,0.17,10.73
35,N2E,1.48954261653e-03,0.21,14.05
35,N2G,6.57986462416e-04,0.18,6.20
35,N2H,9.01903844901e-04,0.17,8.50
35,N2J,4.50767698329e-03,0.66,42.44
35,N2K,2.15132941651e-03,0.30,20.26
35,N2L,1.74398183503e-03,0.23,16.43
35,N2M,1.22424488884e-03,0.21,11.54
35,N2N,1.12874733282e-03,0.16,10.64
35,N2P,2.38371109701e-03,0.26,22.50
35,N2R,2.97040695952e-03,0.30,28.05
35,N2T,8.92807773347e-04,0.15,8.41
35,N2V,1.59456951471e-03,0.39,15.02
35,N2Z,0.02,1.06,231.73
35,N3A,0.01,0.86,174.52
35,N3B,0.01,0.62,110.20
35,N3C,8.17011107525e-03,0.69,77.05
35,N3E,2.34228325161e-04,0.06,2.21
35,N3H,5.69951607715e-03,0.61,53.77
35,N3L,0.01,1.01,158.81
35,N3P,4.10258860772e-04,0.08,3.89
35,N3R,2.06173618163e-03,0.28,19.57
35,N3S,1.97314521108e-03,0.26,18.75
35,N3T,0.03,1.93,328.24
35,N3V,6.39757465984e-05,0.03,0.60
35,N3W,0.02,1.10,257.01
35,N3Y,0.03,1.21,327.36
35,N4B,0.01,0.77,145.61
35,N4G,0.02,1.15,232.80
35,N4K,0.04,1.69,408.42
35,N4L,0.03,1.08,299.13
35,N4N,0.01,0.85,158.09
35,N4S,0.03,1.70,326.64
35,N4T,5.7566081924e-04,0.16,5.46
35,N4V,2.27104970559e-04,0.10,2.15
35,N4W,0.03,1.28,289.99
35,N4X,0.03,1.18,297.49
35,N4Z,6.044767351e-05,0.05,0.57
35,N5A,0.02,1.44,238.46
35,N5C,0.01,0.92,155.41
35,N5H,0.03,1.25,326.19
35,N5L,7.59881753738e-03,0.81,73.03
35,N5P,0.02,1.41,280.61
35,N5R,2.72954682729e-03,0.31,26.18
35,N5V,4.91918585999e-03,0.36,46.88
35,N5W,1.86967853531e-03,0.31,17.83
35,N5X,2.99050941735e-03,0.31,28.48
35,N5Y,1.1113433782e-03,0.17,10.59
35,N5Z,1.15136130562e-03,0.16,10.98
35,N6A,6.59442578633e-04,0.16,6.28
35,N6B,3.47882538504e-04,0.11,3.31
35,N6C,1.48870008659e-03,0.22,14.21
35,N6E,2.8857993846e-03,0.36,27.57
35,N6G,2.94100447741e-03,0.25,28.03
35,N6H,4.71944736027e-03,0.45,45.01
35,N6J,1.20494683726e-03,0.18,11.50
35,N6K,3.33930017358e-03,0.40,31.87
